atm_id,location_id,location_street_address,location_city,location_state,location_postal_code,location_country,transaction_date,total_withdrawal_count,total_withdrawal_amount,total_deposit_count,total_deposit_amount,unique_card_count,average_withdrawal_amount,average_deposit_amount,suspicious_activity_flag,notes
ATM116,LOC2112,88 King St W,Toronto,ON,M5H 1A1,Canada,6/27/2024,31,8680,12,3108,23,280,259,FALSE,"Office tower, pre-holiday activity"
ATM117,LOC2113,88 Market St,San Jose,CA,95113,USA,6/30/2024,1000,875000,2,1530,920,875,765,TRUE,"Extreme withdrawal volume, system error suspected"
ATM118,LOC2114,500 S Hope St,Los Angeles,CA,90071,USA,6/29/2024,255,153000,0,0,237,600,0,TRUE,"Concert event nearby, ATM monitored for fraud"
ATM119,LOC2115,7000 S Zarzamora St,San Antonio,TX,78224,USA,6/28/2024,388,184600,1,1000,340,475.26,1000,TRUE,"Payday spike, review for high-volume activity"
ATM120,LOC2116,9989 University Ave,Waterloo,ON,N2J 3H1,Canada,6/14/2024,5,850,1,150,4,170,150,FALSE,"Quiet morning, university holiday"
ATM121,LOC2117,88 Rue de Rivoli,Paris,IDF,75001,France,6/30/2024,37,10286,7,2079,29,278,297,FALSE,"Louvre area, tourist influx"
ATM122,LOC2118,1 Swanston St,Melbourne,VIC,3000,Australia,6/26/2024,22,4278,5,1035,17,194.45,207,FALSE,"Downtown shopping, steady weekday"
ATM123,LOC2119,68 Queen's Rd,Hong Kong,HK,00000,China,6/20/2024,35,8400,9,2250,27,240,250,FALSE,"Central business district, weekday activity"
ATM124,LOC2120,Friedrichstrasse 43,Berlin,BE,10117,Germany,6/21/2024,14,2660,5,1050,11,190,210,FALSE,"Close to train station, mixed usage"
ATM125,LOC2121,5 Park Lane,London,ENG,W1K 1AB,UK,6/25/2024,18,4950,7,1470,14,275,210,FALSE,"Luxury hotel lobby, steady usage"
ATM126,LOC2122,200 Main St,Springfield,IL,62701,USA,6/19/2024,21,3990,3,600,16,190,200,FALSE,"Midweek, government offices nearby"
ATM127,LOC2123,3250 Walnut St,Boulder,CO,80301,USA,6/16/2024,7,1050,1,160,5,150,160,FALSE,"Quiet Sunday, light shopping traffic"
ATM128,LOC2124,2000 University Ave,Madison,WI,53726,USA,6/24/2024,48,14400,12,3840,38,300,320,FALSE,"Start of summer session, university area"
ATM129,LOC2125,1500 E Main St,Richmond,VA,23219,USA,6/22/2024,56,14000,15,4350,44,250,290,FALSE,"Downtown, post-festival weekend"
ATM130,LOC2126,123 Main St,Hanover,NH,03755,USA,6/17/2024,4,768,0,0,4,192,0,FALSE,ATM used during Dartmouth alumni event
ATM131,LOC2127,900 7th Ave,New York,NY,10019,USA,6/15/2024,143,57096,28,10920,120,399.28,390,FALSE,"Broadway matinee, heavy tourist use"
ATM132,LOC2128,101 Main St,Bar Harbor,ME,04609,USA,6/12/2024,2,360,1,90,2,180,90,FALSE,ATM operational after summer setup
ATM133,LOC2129,1 Test Lane,London,TX,,Unknown,6/11/2024,1,1,1,1,1,1,1,FALSE,ATM test transaction after installation
ATM134,LOC2130,10 Lakeshore Dr,Chicago,IL,60611,USA,6/20/2024,62,18600,16,4800,56,300,300,FALSE,"Lakefront, summer festival nearby"
ATM135,LOC2131,888 King Edward Ave,Ottawa,ON,K1N 6N5,Canada,6/16/2024,17,4250,3,615,13,250,205,FALSE,"University area, light weekend use"
ATM136,LOC2132,12 Main St,Portsmouth,NH,03801,USA,6/25/2024,8,1280,2,340,7,160,170,FALSE,"Harbor area, weekday"
ATM137,LOC2133,1 Main St,Testville,TX,,Unknown,6/18/2024,0,0,0,0,0,0,0,FALSE,ATM offline for scheduled maintenance
ATM138,LOC2134,88 Market St,San Francisco,CA,94111,USA,6/21/2024,110,34100,19,7220,95,310,380,FALSE,"Financial district, Friday payroll"
ATM139,LOC2135,700 Main St,Greenville,SC,29601,USA,6/27/2024,13,2210,2,360,11,170,180,FALSE,Suburban shopping center
ATM140,LOC2136,1 Main St,Nowhere,TX,,Unknown,6/23/2024,0,0,0,0,0,0,0,FALSE,ATM not yet activated
